Year,Pair1,Pair2,Corr. Coeff.
2013,RTN,NOC,0.9909406370722572
2013,NOC,LMT,0.9870073545250726
2013,MA,ADS,0.9860997657328887
2013,RTN,LMT,0.9852868020656391
2013,LMT,HBI,0.984903095380108
2014,DISCK,DISCA,0.9853823249489679
2014,KR,ALL,0.979410491444203
2014,UNP,GD,0.9781767422989849
2014,CVS,ALL,0.9776063255498623
2014,KR,DPS,0.9767904065575987
2015,GOOGL,GOOG,0.9854046120646581
2015,SBUX,ORLY,0.9769917800606597
2015,MON,FMC,0.9735688266915222
2015,WDC,STX,0.9734539132584089
2015,TSS,GPN,0.9707173915563803
2016,GOOGL,GOOG,0.9847741577342002
2016,IDXX,ALGN,0.9809898301685198
2016,PWR,CSX,0.9783255643385164
2016,ZION,CMA,0.9765898958517509
2016,XEC,CXO,0.9765107208855465
2017,GOOGL,GOOG,0.9971441291475299
2017,RTN,LMT,0.9883445887184502
2017,UNH,CI,0.9871279120169296
2017,PHM,DHI,0.9867589860564543
2017,CBOE,AVY,0.9865734751872546
2018,GOOGL,GOOG,0.9986871057576242
2018,DISCK,DISCA,0.998294969178908
2018,UPS,PH,0.989952564269851
2018,XEL,LNT,0.9888381450190973
2018,PFG,MET,0.9878869063967478
